object_0	object_1	answer	labels
phone	ipod	I found that the experience on my HTC Sensation Android phone was far superior to use of my ipod Touch.	2
skiing	fishing	there's some decent mountain biking and skiing in the area, lots of hiking Camping fishing and Hunting opportunities if you like that sort of thing.	0
psp	ps3	Sony has two superior products on the market - psp and ps3.	0
ps2	ps3	ps2 games were better than what's on ps3 so far.	2
hockey	football	Upper Deck: I do better in hockey and football.	0
Smalltalk	Java	Comparing Smalltalk, Eiffel, C++ and Java	0
Audi	Lexus	The Audi S4 is slightly shorter than the Lexus GS 350, which may make it easier to park.	2
halloween	thanksgiving	To make it a little easier, I've done the research the best deals during halloween, thanksgiving, Christmas and New Years .	0
OpenCL	CUDA	However, this does not take into consideration whether the code is optimized better for a specific platform, the quality of the drivers and the OpenCL stack (which does not perform as well as CUDA on NVidia).	3
amazon	youtube	One of my favorites is the Satechi iFit-1 ($19.99 at amazon), which makes watching youtube videos and listening to music on a smartphone so much better.	0
Google	Apple	I am sorry is Google maps better then Apple maps??	0
PHP	JavaScript	People even use languages with slower implementations like PHP or JavaScript these days (ever heard of web 2.0?).	0
CUDA	OpenCL	I'll repeat with a GTX580 on the next tests - I imagine CUDA does not improve PP6 over FCPX when you have a faster, higher spec Nvidia card that also boosts OpenCL on FCPX.	0
Google	Sony	Didn't return it because both Google and Sony assured me that within a few months it would be better.	0
Intel	Apple	So then it comes down to Intel, will they provide another new SL9x00 CPU faster than 2.13 GHz for Apple?	0
Buick	Cadillac	GM Ventures, the investment arm of the auto company, bought a piece of Relay Rides, and now it's going to let Chevy, Buick and Cadillac owners with the popular OnStar option use it to make car sharing easier .	0
Nissan	Renault	also one of China rapidly grow auto company Chery which before cooperation which Better Place (Nissan-Renault subsidary in EV technology) to build their own EV, FCEV now has setup new brand to capture a little pie in greener car market.	0
ps3	ds	I myself own all videogames (Wii, ps3, 360, PSP and ds) and I can only find RTS, FPS and MMORPGs to be much better played on the PC.	0
Ethernet	USB	I haven't tried it with this modem, but on my ADSL line the superior performance of Ethernet over USB modems is striking, particularly in terms of responsiveness.	2
MySQL	PostgreSQL	I can't justify spending 10,000$ on software to be faster when a 5,000$ disk array + MySQL or PostgreSQL is much more cost effective.	0
BMW	Ford	Meanwhile, automakers like BMW, Ford, Honda, and Mercedes-Benz are boosting their use of high-strength steel -- not only to make vehicles safer, but also because the new steel is lighter, and lighter steel means lighter vehicles, which means better fuel economy.	0
CUDA	OpenCL	For instance, there's a session on GPU acceleration for applications, which is news to me, and although there are no specifics yet, things like CUDA and OpenCL are ripe for exploitation for a new OS looking to seem faster.	0
Microsoft	Apple	ITS GETTING WORSE NOW, Microsoft ACTING LIKE Apple, THEY WANT TO RIP CUSTOMERS OFF!!	0
california	virginia	Also 105 degrees in california is way better than 95 in virginia.	2
USB	Bluetooth	I'm using a cheapie Microsoft USB optical mouse ($20) until somebody makes a decent Bluetooth mouse.	0
wii	psp	I prefer the wii version, because having dual analogs is really much better than using the crappy psp controls.	2
football	basketball	MW : Which sport is easier to ref, football or basketball?	0
Intel	Google	The headline: Tech Bellwethers Intel, IBM, Google Post Better-Than-Expected Earnings This Week.	0
PHP	JavaScript	I am just saying he doesn't need PHP/JavaScript for styling the images, css is simply the best route (faster, cleaner and simpler).	0
minivan	suv	minivan, suv, sedan...whatever.	0
Google	IBM	"Google is ""excited to partner with IBM to provide resources which will better equip students and researchers to address today's developing computational challenges,"" said the company's CEO Eric Schmidt."	0
Toyota	BMW	Considering AM is alive and well on all other electric cars and hybrids from manufacturers like General Motors, Toyota, Tesla and Nissan, just to name a few, I'd say it has more to do with lousy engineering on the part of BMW.	2
football	hockey	Trading Miguel Cabrera and Dontrelle Willis is a dangerous and unpopular move in a city that has a winless football team, a lousy basketball team and a mediocre hockey team.	0
cement	concrete	Even asphalt is better than cement (concrete?),	0
juice	cider	"juice"" is ok, but ""cider"" is much better."	3
Ruby	Java	like you can in Ruby or Java.	0
PostgreSQL	MySQL	Solid understanding of database systems (PostgreSQL, MySQL)	0
BMW	Toyota	Dimensions Since the BMW X3 is much slimmer than the Toyota Highlander Hybrid, it'll be much easier to find a wide enough space in a crowded parking lot.	2
Dell	Microsoft	Surface + Dell + HP + Asus + ???)  Did several other vendors with smaller and/or cheaper Windows tablets do as well as or better than Microsoft?	0
steak	bread	With chicken, pork, steak, bread, and beer... Ahhh Pucon livin' baby it gets no better.	0
Avaya	Huawei	Analysts said rising competition from the likes of Hewlett-Packard , Juniper Networks, Avaya and Huawei Technologies are putting pressure on the market leader.	0
Sony	Apple	I never thought I'd say this - but Sony is better than Apple when it comes to low end MP3 players!	2
Python	Ruby	It would probably be much faster written in Python, Perl or Ruby:	0
Java	Smalltalk	Java and Smalltalk have long embraced design patterns, creating a commercial credibility sorely lacking in Perl.	0
kennedy	reagan	Others like Jefferson, Lincoln, Roosevelt (either one), kennedy and reagan have sizable constituencies with axes to grind, or worse.	0
stone	metal	When cleaning, be especially careful to remove solid debris such as stone particles or metal chips.	0
carolina	missouri	South carolina Gamecocks in Better Position than missouri Tigers to Reach SEC Title Game?	2
Eclipse	NetBeans	comparison to Eclipse/NetBeans.	0
MSI	Nvidia	- Intel Xeon E5440 /w Scythe Kama Angle cooler on it - MSI P35 Neo2-FR - obviously no RAM - Nvidia GTX 470 - Samsung 830 256gb SSD and a couple of HDDs	0
Nokia	Siemens	The Finnish company, which has been losing market share to Samsung ( 005930.KS ) and Apple ( AAPL.O ), said the better-than-expected result was also helped by cost cuts, a stronger-than-expected performance from its Nokia Siemens Networks unit and 50 million euros in patent royalties.	0
Google	Sony	During Google I/O today, the company announced that it's working with its partners - including AT&T, HTC, LG, Motorola, Samsung, Sony Ericsson, Sprint, T-Mobile, and Verizon Wireless - on getting new Android updates to users faster and on curtailing Android fragmentation.	0
PostgreSQL	MySQL	Actually in terms of functionality and advanced features (stored procedures, triggers, table inheritance etc.) PostgreSQL is much better than MySQL.	2
iOS	Apple TV	UHD will take more bandwidth and more memory so iOS devices will have to include much more storage and download expectations may well change because it isn't likely that bandwidth to homes will be overwhelmingly better before bigger file sizes arrive-and Apple TV will need to at least adjust its buffers and probably other features to push UHD content to the new sets.	0
ipod	laptop	But we invested in a decent one, as otherwise I could just run the ipod through the laptop in the kitchen anyway, right?	0
Ruby	PHP	Likewise, learning Ruby is no harder than learning PHP but far, far more rewarding.	2
sausage	sandwich	The sausage is decent too, three kinds sold by the sandwich ($7.50) or by the pound ($15.75).	0
laptop	iphone	It's a lot easier if you have a laptop or iphone in your living room.	0
soda	juice	soda, juice or soup).	0
soup	sandwich	Feel the lunch (soup, salad, sandwich) combos are a better value.	0
harvard	princeton	harvard Head Coach Tim Murphy opening statement: Obviously it as a very solid win over princeton last week.	0
Perl	Java	Linux expert, algorithm savvy, very strong in C, Bash, python, scheme/common lisp decent in Perl, familiar with Java and clojure and haskell.	0
Sony	Amazon	Looking backwards, investing in Sears in 1890 turned out better than investing in Sony in 1950; that, more than anything, explains the relative performance of Amazon and Apple in the stock market.	0
Sony	Apple	And no, the Sony earbuds are smaller than the Apple earbuds (which have better sound) so they won't fit.	3
Sony	Amazon	As a Netflix subscriber (and also short since $140) I do agree with most of the comments about the indy-type films being better views than Starz content; however, I can get the indy stuff elsewhere, most of the Stars -- especially Sony content is the high priced stuff that's harder to find elsewhere (ie Amazon, Hulu).	2
plywood	metal	Design Blu Dot, 2007 Solid hardwood & plywood frame, foam, blackened metal base, upholstery	0
mit	harvard	mit? harvard?	0
Python	JavaScript	What you have to keep in mind is that dynamic languages like Ruby, Python, JavaScript and Scala are often proposed as being better approaches to programming than, say, Java precisely because they are weakly-typed.	0
golf	basketball	golf, basketball and soccer.	0
reagan	kennedy	It moved quickly, it had high tempo, at times inspiring, then it became more intimate, slower, all along sort of interweaving a main theme about America's promise, echoes of Lincoln, of King, even of reagan and of kennedy.	0
Advil	Motrin	Ibuprofen (Caldolor, Advil, Motrin)	0
Apple	Sony	Apple would be better off competing with Nintendo than Sony and MS.	0
Samsung	Toshiba	The Samsung LN22A450 produces a well-contrasted picture for its size, yet I kept coming back to the Toshiba 22AV500U as a superior small-screen choice, as it features better color quality and an additional HDMI port.	3
Dell	Sony	Crippled isn't the word; it's still better than a number of new cards sold in stores, it's better than what comes with EVERY Dell, Gateway, eMachines, and Sony sold in stores (have you ever been in a computer store?	0
google	youtube	google Analytics for youtube, only better	2
amazon	hulu	If you don't consider those dealbreakers, the box is a decent choice for streaming amazon Instant Video, hulu, Netflix, and the like.	0
CUDA	OpenCL	Thanks to CUDA, DirectX Compute, OpenCL and PhysX Support, the stream processors can also be used for other applications (video coding, physic effects....) and are much faster than typical main processors due to the large number of shaders working parallel to one another.	0
Objective-C	Swift	I converted the Objective-C app Dropit from the Stanford CS193P course to Swift.	0
Scala	Java	Next Scala release will target Java 8 platform with a new backend and aim for much better performance.	0
PHP	Java	Server side (PHP,ASP,Java,etc) is probably a better way to go.	0
Windows XP	Windows 98	It wouldn't play at all on my Windows XP laptop, and played poorly on my desktop computer with Windows 98 installed.	0
mobile	wallet	He talks about the current shift toward the mobile wallet and how it's still not making life easier.	0
JavaScript	PHP	Server side JavaScript does exist, but wouldn't it be easier just to reimplement the JS function in your PHP code?	0
Sony	Microsoft	So a better question is; why are Sony/Microsoft overcharging for an inferior product?	0
harvard	dartmouth	Clarkson (991), Colgate (996), harvard (998), Rensselaer (994), St. Lawrence (994), Union (995) and Yale (998) joined the men's trio of Brown, dartmouth and Princeton in securing marks of 990 or better.	0
rubber	wood	White faux leather with black solid rubber wood frame	0
Perl	Java	Slower than Perl with PDL, Java, and C.	0
Ford	Nissan	Only Ford and Nissan did better.	0
MySQL	Oracle	MySQL Performance Architect, Oracle	0
amazon	hulu	Meanwhile amazon or hulu might've built upon Netflix's UI and made theirs seem better.	0
MySQL	Oracle	Database: MySQL, Oracle, DBI	0
Haskell	Java	"To quote myself in response to someone asking ""Can you provide examples of legacy hacks and how Scala, Haskell and F# are actually better than languages like C# or Java?"": (...) I am not downplaying this disaster, but are you just gloating?"	2
Python	Java	You will see that for this particular case, Python is actually quite superior to Java.	2
princeton	harvard	"It's not ""partisan"" to say that the princeton women are better than the harvard men."	2
skiing	fishing	There's no better place than the Catskills for amazing hiking, skiing, swimming, tubing, horseback riding and fishing.	0
MySQL	Oracle	Replicating between MySQL and Oracle	0
NetBeans	Eclipse	You can use NetBeans or Eclipse.	0
Ruby	Java	Ruby is older than Java.	3
fishing	swimming	houseboating , fishing and swimming.	0
Windows 8	Windows 7	Extended desktop in Windows 8 works so much better than Windows 7, it's not even funny.	2
Java	Scala	Other JVM languages - Java is a solid od workhorse, but the real innovation is happening with the new JVM langauges (Scala, Clojure in particular).	3
Python	Bash	The Python version is certainly more verbose than its Bash counterpart, but much easier to read (and, I hope, to maintain in future).	2
volleyball	tennis	soccer, volleyball, and tennis.	0
lacrosse	hockey	I might have been a little better lacrosse player than a hockey player.	2
Scala	Java	To summarize: Scala to me is just a better Java with too many trade offs.	2
suv	minivan	suv? minivan?	0
Ibuprofen	Advil	Although the current limit of safety on Ibuprofen (Advil, Motrin) NSAIDS is 1200 mg a day, to be safer, I would cut that dosage in half to 600 mg and not more than 800 mg a day.	0
Google	Intel	"Heck, just have a Twitter or  Google News keyword of ""Metasploit"" and you'll get some pretty decent Intel on what the world is looking at."	0
Dell	Apple	Dell makes some solid laptops, Asus makes some solid laptops, and Apple makes some solid laptops, but you'll find horror stories about all three all over the place.	0
Motrin	Advil	These include Tylenol®, Motrin®, and Advil®.	0
volleyball	tennis	Like volleyball and tennis.	0
Nokia	Motorola	Nokia, Motorola, Ericsson and others are shareholders.	0
Java	Groovy	I don't know if I would feel better about the amount of configuration if I used Java or Groovy for site declaration.	0
Python	Ruby	Python and Ruby perform significantly better.	0
OpenGL	Direct3D	"Why does an OpenGL version of our game run faster than Direct3D on Windows 7? It appears that it's not related to multitasking overhead,"" Valve's Linux team wrote on their official blog."	2
georgia	oregon	But the bigger problem for the Buckeyes is the Big Ten's lousy perception, something georgia and oregon don't have to worry about.	0
sausage	pizza	Cooked ground sausage, ground beef and cubed chicken, all stored in reach-in pizza cooler, noted between 60 degrees-66 degrees (voluntarily discarded).	0
wallet	mobile	Google wallet Now Makes mobile Buying Easier [googlecommerce.blogspot.co.uk]	0
oregon	virginia	Gladow's take: A loss to Florida State is worse than a loss at oregon, true, but Boston College still boasts wins over virginia Tech, Georgia Tech and Wake Forest.	0
stone	steel	"The library was guarded by a stone door that was described as ""harder than steel."""	2
Java	Groovy	While this manipulation is all available in the standard JDK and is thus available to Java applications, Groovy is better suited for scripting needs like this.	3
soup	sandwich	Will he serve her soup to make her feel better even if it's sandwich day?	0
PHP	Ruby	In my case- do you think a freelance marketplace platform be better off built under PHP or Ruby?	0
soda	milk	Why is soda $5 per gallon when milk is so much better for you?	3
skiing	swimming	Furthermore, the Welsh go one better than the Californians in that old West Coast trick of skiing in the morning, swimming in the afternoon.	0
Ferrari	Renault	Only Ferrari, Ford and Renault have contested more GPs.	0
MySQL	PostgreSQL	i have been trying to bend MySQL (PostgreSQL has better support	3
Toyota	Nissan	For about the same price, better alternatives include the Toyota Highlander, Nissan Murano, and Mazda CX-9.	0
CUDA	OpenCL	And CUDA can co-exist next to OpenCL for a long while (as it does now): since it's easier to implement for software developers, it will stay the nr.	0
Audi	Mercedes-Benz	Well-known European car manufacturers like Audi, BMW, Jaguar, Mercedes-Benz and many others built solid and well-deserved reputations around high performance sports sedan models.	0
Swift	Objective-C	True, Swift had been heavily influenced by Objective-C.	0
harvard	stanford	harvard vs. stanford: Which Builds a Better Entrepreneur?	0
Amazon	Google	0.0099 0.0080 0.0060 0.0040 0.0030 0.0020 0.0018 0.0012 0.0000 Amazon Google HP Microsoft Rackspace Note: Shorter bars are better.	0
pistol	knife	Just switch to a pistol or knife secondary and you can reach certain choke points faster+ have range advantage with a AR.	0
Huawei	Avaya	Compatible Brands All CISCO Huawei H3C HP Allied Telesis Alcatel-Lucent Foundry Force10 Juniper Extreme Brocade Blade D-Link Linksys Netgear McAfee Marconi Ruijie SMC SUN Q-logic Emulex ZYXEL IBM Feixun ZTE Hirschmann Bdcom TRENDnet Telco Dell Avaya Intel Enterasys Redback Nortel 3Com Adtran Asante Bitway Vixel DCN Planet 10Gtek Arista    Module Type All QSFP SFP SFP+ XFP XENPAK X2 GBIC    Rate All 40G 155M 622M 1.25G 2.488G 10.3G    Wavelength All Copper 850nm 1310nm 1550nm CWDM DWDM BIDI     Distance All 0-550M 1-20KM 21-40KM 41-80KM 81-120KM	0
Honda	Nissan	Honda (+13%), and Nissan (+14.8%).	0
Apple	IBM	Meanwhile, Apple and IBM are airing television advertisements that imply Windows is inferior.	0
Sed	AWK	Some things that are easy in Perl or Python are even easier, or at least more succinct, in Sed or AWK.	0
Direct3D	OpenGL	Apart from that, raytracing with Direct3D is in development at the moment (so no wonderfull new era of platform independent graphics APIs), the situation will just get worse as the people behind OpenGL will just add that functionality using extensions, but I guess that discussion has been hold long enough now...	0
Renault	Nissan	Project Better Place and the Renault-Nissan Alliance   1.1.2	0
pasta	pizza	The pasta was mediocre, not as memorable as the pizza.	3
Apple	Google	For better or worse, a majority of people still prefer banks over trusting Apple, Google, or PayPal with sensitive data.	0
Python	PHP	This makes Python a better choice for general programming than PHP	2
reagan	nixon	Obama wars are no better than Bush, reagan or nixon wars.	0
itunes	google	The Safer Seas Service app is free to download for iPhones, iPads and mobile Android devices from itunes and google Play.	0
phone	laptop	If you want to get serious, stick with a decent 3G phone and decent laptop, even a Mac book.	0
football	baseball	Lake Superior State Athletics - football, Basketball, & baseball Apparel	0
Smalltalk	Java	Smalltalk has had such a positive influence on Java.	0
steel	aluminum	No car drives nicer and safer than this one, made of a real steel, not plastic or aluminum.	2
Nikon	Leica	(And, these days, getting far,far better results from that pocket daddy-cam than grandpa ever got from his crappy ol' film Nikon or Leica at a game.	0
Sony	Google	I equate Sony with decent products that are way overpriced, which doesn't seem to mesh with how Google normally does stuff.	0
Python	Lisp	Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)	3
Windows Vista	Windows XP	Windows Backup is a truly useful addition to Windows Vista and much nicer than the Backup utility that shipped with Windows XP.	2
Swift	Objective-C	Swift, Objective-C and C foundations	0
Audi	Lexus	Convenience Due to the larger tank size and better fuel economy of the Audi Q7, you will definitely be making fewer stops at the gas station than with the Lexus RX 450h.	2
juice	soda	"Water, juice, soda?"""	0
Java	Objective-C	Member Thom Thom will present his solution of much easier apps using mostly HTML5 instead of Java/Objective-C.	0
Nokia	Motorola	As Palm, Nokia, Blackberry and Motorola didn't.	0
Windows XP	Windows 8	Not all users have automatic updates, but as users move from OS'es that don't (Windows XP) to ones that do (Windows 7 and Windows 8), it results in better security.	3
Ford	Nissan	As for hybrid models, the Eco is claimed to be better than the Ford Fusion Hybrid, Nissan Altima Hybrid and Toyota Camry Hybrid.	0
AWK	Sed	I think column edit mode would be faster than the AWK/Sed regex because it would take me at least 5 minutes to create from scratch the above regex... when column edit would be done in 2 minutes.	0
Python	PHP	I don't hate Python either, but I think we are better off in PHP.	3
ds	psp	ds beats out psp	2
Nissan	Renault	1,248 cc DDIs engine borrowed & shared with Fiat is a class leading peppy engine producing good power & healthy torque much better than the likes of Ford Figo, Nissan Micra and Renault Pulse.	0
playstation	gamecube	On both the playstation 2 and gamecube.	0
Intel	Apple	Here you get a quad-core 2.2GHz Intel Core i7 processor that, say Apple, runs 2x faster than it's predecessors.	0
Objective-C	Java	Umberto, if you read my post carefully, you will see that I never say that Objective-C is superior as a language to Java.	0
Dell	Intel	The notebook's SYSmark 2004 SE performance scores were in line with those of the Dell Inspiron E1505 , which houses a slightly slower, 1.6-GHz Intel Core Duo T2300.	0
Chrysler	Toyota	Their Chrysler store at 750 East Road in Stephenville completed renovations in late 2012 to better serve their customers and the new GM and Toyota stores in Brown County just celebrated their grand opening this summer.	0
OpenGL	Direct3D	"It's frustrating when there's very little reason (and if there is a halfway decent reason, I'd like to hear about it---and don't give me that ""ease of use"" crap; any competent programmer can use either API rather well) not to use OpenGL over Direct3D, other than the ""Nobody ever got fired for choosing Microsoft"" mentality."	0
Ruby	Python	I've been going through Ruby, enjoy it, like it better then Python, never really dug PHP.	2
Intel	IBM	Fujitsu is key to successor SPARC64-VIII 8-way 'Venus' or another and the market will need clarification on this given solid Intel Nehalem and successors and IBM POWER7 solid performance and beyond maps.	0
Sony	Microsoft	Sony Corporation (ADR) (NYSE:SNE) will grow earnings faster than Microsoft Corporation (NASDAQ:MSFT).	2
Samsung	Toshiba	Personally - and this is just me - I'd be more inclined to look at sets from Sony, Samsung and Toshiba because they have 24p support and/or decent MCFI.	0
soda	juice	Add soda or juice.	0
Microsoft	Sony	The public have voted with their wallets, so why do Microsoft, Dell, Sony, HP etc keep churning out mediocre, poorly marketed products?	0
Renault	Ferrari	Watch Renault and Ferrari this year.	0
harvard	mit	harvard, MA: mit Press.	0
Java	Smalltalk	Java, COBOL, Smalltalk, etc.)	0
Ford	Honda	And to make it better, they have weekend sales, this weekend any headlight assembly was $7.99, literally any, Ford VW, BWM, Honda... all $7.99.	0
Leica	Nikon	If Leica is ever to produce a non-rangefinder mirrorless full-frame interchangeable-lens camera with an electronic viewfinder, the mythical beast I have been waiting for ever since they discontinued the R line; or if Sony or Fuji or someone is to produce the first non-camcorder full-frame mirrorless; or if I am to toss in the towel and get an EOS; or, better yet, get a Nikon or a Sony and drop a lot of money on Leitax...	0
Apple	Google	Good for Apple, better for Google?	0
Google	Sony	And if Samsung has something it thinks it does so much better than Google they can contribute to AOSP like Sony has.	0
Java	PHP	It's usefull for Java developers and organizations to scientificaly examine competing Flash, .NET and PHP in order get better.	0
champagne	beer	There is no better material for do-it-yourselfers to create champagne outdoor spaces on a beer budget.	0
Ruby	PHP	I want to know somethink like this: Zend is better with API, CodeIgniter is faster, Cake is similar to Ruby, with more details which PHP application can you build more scalable, faster..., with this frameworks.	0
Python	JavaScript	Expert C developer; solid Java, C++, Python, JavaScript, HTML, JSP, CSS skills among others	0
fishing	swimming	Good fishing, swimming, loons.	0
golf	hockey	It's easier to play golf than hockey.	2
ps2	wii	They have XBox360, ps2 and wii onboard and a decent variety of games.	0
Perl	Python	For some people, Perl works better than Python.	2
beer	cider	For me personally this is important as I do prefer a decent beer or cider with my food.	0
Python	PHP	Setting up Python running as FastCGI on either Apache or lighttpd is much harder than creating a page of PHP.	0
Honda	Toyota	Buy Honda or Toyota.	0
Honda	BMW	Further back were Christian Klien (Red Bull Racing), Rubens Barrichello (Honda), Nick Heidfeld (BMW), David Coulthard (Red Bull Racing), Juan Pablo Montoya (McLaren), Nico Rosberg (Williams), Christijan Albers and Tiago Monteiro (MF1), the obviously sandbagging Scuderia Toro Rosso of Tonio Liuzzi and Scott Speed (which went considerably faster on Friday) and the two Super Aguris at the back of the grid.	0
Sony	Microsoft	The truth is that Nintendo's business model has been far superior to that of Sony and Microsoft in this generation.	0
Honda	Nissan	Honda, Toyota, Nissan....same as jeep.	0
Motorola	Samsung	Come upgrade time, goodbye Motorola, HELLO Samsung.	0
Toyota	Chrysler	11/2/07) this year on Nov. 1, the good news for new CEO Robert Nardelli and his two vice-chairmen-incumbent Tom LaSorda and former Toyota Motor (TM) North America boss James Press-is that they have the autonomy to make decisions much faster than Chrysler could under Daimler (DAI).	2
Renault	Ferrari	And Renault, Merc, and Ferrari can build incredible engines.	0
Dell	IBM	The Sun Fire X4470 server delivered better 4 socket x86 system performance on the SPECint_rate2006 benchmark compared to HP (DL585 G7), Cicso (UCS C460 M1), Dell (R815) and IBM (x3850 X5).	0
metal	concrete	- Municipal Solid Waste (MSW) - Construction and Demolition Debris (CDD) - metal - concrete - Boats - Trailers	0
OpenGL	Direct3D	My only point is that the presentation of my numbers is off, but there is no case in which OpenGL has ever been faster than Direct3D in all tests I have run on all machines.	3
Samsung	Toshiba	I lucked out to be getting one with the Samsung SSD which is a lot faster than Toshiba SSD.	2
carolina	michigan	Unless KU plays a lot better, I don't think they will handle North carolina, and certainly not michigan.	0
Groovy	Java	No, I've had some very bad experiences with a bad language :-) And having started getting into Groovy, I might say that time spent on something like, say, closures, would be time better spent in the Java world then parametric polymorphism.	3
swimming	fishing	Great swimming and fishing!	0
JavaScript	Python	Splunk Java SDK (beta) , Splunk JavaScript SDK (beta) , Splunk Python SDK (beta), and Splunk PHP SDK (public preview) Splunk makes it easier for developers to quickly build custom applications to search, manage, and visualize Splunk data by delivering Software Development Kits with sample code, documentation, and other tools for popular languages.	0
Honda	Nissan	Honda and Nissan are extremely reliable cars.	0
Scala	Java	Scala is not a better Java, it's an ML for JVM	3
PostgreSQL	MySQL	With this we don't want to say that PostgreSQL isn't good at many things (it is!) or that it isn't faster than MySQL Server under certain conditions.	0
Haskell	Java	Haskell is much faster to write in and allows me to sort out conceptual problems before implementing anything in a procedural language like Java.	0
USB	Bluetooth	For wider USB device support outside of drives and HDDs the Samsung's are decidedly less compatible than ASUS gear (their Bluetooth device support is also worse).	0
amazon	hulu	amazon is much better, as is netflix, and hulu.	0
Ford	Honda	Ford Focus, Honda Civic, and etc. Ones with 30 MPG or better.	0
Toyota	Nissan	Toyota and Nissan V8s drink like fish, are the fords really any better	0
Sony	Google	Rather than pack in ever more pixels or flex its screens , Sony is rolling out a number of technical and design tweaks aimed to make their benchmark-setting UHD televisions even better this year-and that includes a brand spankin' new OS powered by Google.	0
california	missouri	california vs. missouri footprint	0
thanksgiving	halloween	The cooler weather brings on the more comforting foods and then before we know it, thanksgiving arrives, then halloween and pretty soon Christmas will be around the corner!	0
facebook	google	Maybe facebook and google+ are indexed faster than your site.	0
Advil	Ibuprofen	When your knee acts up, which works better -Tylenol (acetaminophen) or Advil (Ibuprofen)?	0
Renault	Ferrari	Only Mercedes, Renault and Ferrari are left now.	0
harvard	stanford	If I accept your argument, UCLA would be better than: harvard, stanford, Yale, CAL and so forth.	0
amazon	hulu	"Plex also includes ""channels"" including amazon Video, hulu, and Netflix - but these are poorly implemented and well hidden deep in the menus."	0
virginia	oregon	This group is also involved in similar activities or worse in West virginia, oregon, and Nevada.	0
Dell	Apple	Acer Travelmate 8372 and Aspire 3820, Dell Vostro V130, Samsung QX310 all have inferior displays; Sony Vaio S13 and Apple MacBook Air aren't as expensive; Sony Vaio...	3
Dell	Microsoft	Dell is only vaguely interested in Linux, and there are still questions about if that is just the standard ploy to get a better Microsoft deal.	0
Oracle	MySQL	More on Oracle MySQL	0
Smalltalk	Java	Examples include Smalltalk, C++, Turbo C++, Object C+, Java.	0
oregon	michigan	Mariota and oregon have been stymied by Stanford's defense before, and michigan State is every bit as good as the Cardinal on defense, if not better.	0
Perl	Python	[1] - It is much easier for a Perl programmer to become productive with Python,	0
Nokia	Samsung	Yeah, it's much easier to compete with Nokia than Samsung.	0
Bash	Python	Anything more than a few lines of Bash could be done better in Python.	3
Amazon	Apple	I think Amazon has a much better selection of fly fishing books than either B&N or Apple.	2
wood	cement	wood or cement?	0
AWK	Perl	In the former case, often it is an easier solution to convert the data into NED by using AWK, Perl, Python, Ruby, Tcl or a series of regex find/replace operations in a text editor; however, if you're deciding for using dynamic module creation from C++, then invoking nedtool on a sample NED file and looking at the generated _n.cc file can be very helpful.	0
Python	JavaScript	When you touch memory in in Python or ruby or JavaScript, I guarantee that something is doing the bookkeeping on your memory, and since CPUs only understand assembly language, and C is really just pretty assembly, you now have a decent idea of how those fancy languages actually manage memory on your behalf.	0
MySQL	PostgreSQL	MySQL Server is generally much faster than PostgreSQL.	2
steak	potato	For a solid steak and potato favorite, Ippy's Restaurant doesn't mess around with its A+ ratings and star-studded reviews.	0
Windows XP	Windows 8	- As an alternative and a bit slower procedure, always booting Windows PE, Windows XP or Windows 8, you may fast format Win1 drive and deploy into it the .vhd	0
carolina	georgia	The shift north is better news for Florida, as chances are going down for a landfall there, worse news for South carolina/georgia though.	0
Sigma	Nikon	I like the Sigma (Nex) 30mm even better then the Nikon, and I do want a faster, wider lens then the 50mm for this trip.	2
Intel	Kingston	Here's the question: do any of you believe the Intel 510 is a better option than say the OCZ Vertex3 MIOPS or the Kingston HyperX?	2
Chevrolet	Ford	I loved the look of Chevrolet and that's what I really wanted, but if the price was better, a Ford would have suited me just fine.	2
Chevrolet	Ford	The 2009 Chevrolet Corvette C6 and the 2009 Ford Mustang GT500, two of America's most iconic muscle cars, return better than ever.	0
Java	PHP	There's also a whole bunch of things that Java can do way better (PHP can't even handle longs well!).	2
rifle	pistol	Wargear on ship: Bolt-action solid slug rifle, laser pistol	0
tea	juice	tea Sales Remain Solid While Packaged juice Falters	0
Hewlett-Packard	Dell	"But those with a broader portfolio -- like Hewlett-Packard and IBM -- will be able to weather the storm better than the likes of Dell,"" Kumar said."	2
Windows XP	Windows 98	And Windows 7 works very well compared to Windows XP (which worked a lot better than Windows 98, but I digress).	2
PostgreSQL	MySQL	Personally I've generally tossed SQL Server since PostgreSQL, MySQL, etc have all proven to be just as good or better.	0
virginia	georgia	Pass protection as a whole was solid, but virginia Tech struggled diagnosing georgia Tech blitzers all night.	0
carolina	michigan	Wofford is the better one this year; they beat Georgia and South carolina while playing Illinois and michigan State tough.	0
Advil	Motrin	I always keep Advil with me or Motrin.	0
Microsoft	Dell	To make matters worse for Netscape, Microsoft used their influence with full force to prevent OEMs (an OEM is a computer maker such as Gateway or Dell) from putting Netscape on any of the computers they shipped.	0
Sony	Apple	It's still inferior to Sony, Microsoft and Apple.	0
Haskell	Python	@permeakra: That's just a rant, basically stating that learning Haskell and Python doesn't make you better in other languages because those other languages suck.	0
soup	pizza	mom luckly for me grant's babysitter, soledad, had cooked up some soup and grilled some chicken that was better and even easier than me calling out for pizza!	2
